,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
I. Official reserve assets and other foreign currency assets (approximate market value),M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M05,M06,M07,M08,M09,M10,M11
,2015M1,2015M2,2015M3,2015M4,2015M5,2015M6,2015M7,2015M8,2015M9,2015M10,2015M11,2015M12,2016M1,2016M2,2016M3,2016M4,2016M5,2016M6,2016M7,2016M8,2016M9,2016M10,2016M11,2016M12,2017M1,2017M2,2017M3,2017M4,2017M5,2017M6,2017M7,2017M8,2017M9,2017M10,2017M11,2017M12,2018M1,2018M2,2018M3,2018M4,2018M5,2018M6,2018M7,2018M8,2018M9,2018M10,2018M11,2018M12,2019M1,2019M2,2019M3,2019M4,2019M5,2019M6,2019M7,2019M8,2019M9,2019M10,2019M11,2019M12,2020M1,2020M2,2020M3,2020M4,2020M5,2020M6,2020M7,2020M8,2020M9,2020M10,2020M11,2020M12,2021M1,2021M2,2021M3,2021M4,2021M5,2021M6,2021M7,2021M8,2021M9,2021M10,2021M11,2021M12,2022M1,2022M2,2022M3,2022M4,2022M5,2022M6,2022M7,2022M8,2022M9,2022M10,2022M11,2022M12,2023M1,2023M2,2023M3,2023M4,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11
other,587,584,594,572,590,584,609,607,616,624,614,604,620,624,598,607,637,626,627,630,619,609,587,601,586,581,591,605,612,596,580,590,590,603,622,610,603,614,634,635,632,629,625,642,641,646,641,672,671,683,693,686,696,707,726.9658104,744,741.59519,731,748,731,769,790,802,780,770,760,733,723,749,768,746,728,726,703,708,702,713,1120,1143,1148,1157,1106,1161,1151,1182,1155,1091,1098,1093,1120,1102,1111,1119,3446,3392,3411,3360,3433,3496,3561,3579,3527,3537,3595,3553,3608,3570
B. Other foreign currency assets (specify),-229,-202,-220,167,460,203,-86,-412,-397,42,128,27,74,-139,121,-292,166,-813,-421,34,127,234,966,1012,304,-16,-158,-346,-399,1103,692,188,136,-62,-216,338,67,-361,-293,13,132,68,107,-52,257,78,300,-375,111,144,54,-22,-522,-53,30.40027362,-120,127.035564,313,177,541,-109,-465,-1077,57,99,106,71,82,78,48,61,56,165,248,288,39,43,18,-97,-102,-48,76,-128,-37,0,45,522,623,277,291,-57,50,-41,-49,-273,-454,-164,2,-88,-48,23,335,293,228,425,324,489
securities not included in official reserve assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deposits not included in official reserve assets,0,0,0,0,0,0,0,0,112,111,109,105,107,107,101,101,105,101,100,100,98,97,97,99,96,95,95,97,98,96,93,96,95,98,100,98,98,101,104,104,103,102,99,101,101,101,98,103,103,105,105,105,105,104,105.3689904,104,103.9797308,103,105,102,107,109,114,108,105,103,99,99,103,106,103,99,101,99,100,0,0,0,0,0,0,0,0,0,112,110,105,106,104,108,106,105,109,138,134,136,134,137,139,140,140,135,135,137,137,139,136
loans not included in official reserve assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial derivatives not included in official reserve assets,-229,-202,-220,167,460,203,-86,-412,-509,-69,20,-79,-33,-245,20,-393,61,-914,-521,-65,29,136,869,912,208,-111,-253,-443,-498,1007,599,92,41,-161,-316,240,-31,-462,-397,-91,29,-34,8,-153,156,-23,202,-478,9,39,-51,-127,-626,-157,-74.9687168,-224,23.05583323,210,72,439,-216,-574,-1191,-51,-6,2,-28,-17,-25,-58,-41,-44,64,150,188,39,43,18,-97,-102,-48,76,-128,-37,-112,-65,417,517,173,183,-163,-55,-150,-187,-407,-590,-298,-135,-227,-188,-117,200,158,91,288,185,353
gold not included in official reserve assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Predetermined short-term net drains on foreign currency assets (nominal value),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
